epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,7564.49,1.14859,1.18691,1.30626,0.74756,0.67296,0.71366,0.55539,1.23851,1.266,1.42047,0.0004753,0.0004753,0.0004753
55,7703.33,1.1377,1.15127,1.30838,0.77748,0.68914,0.71966,0.56062,1.22746,1.22098,1.40267,0.0004654,0.0004654,0.0004654
56,7844.34,1.15814,1.18226,1.31915,0.75643,0.68614,0.71311,0.55726,1.22671,1.25534,1.40537,0.0004555,0.0004555,0.0004555
57,7981.69,1.13704,1.16884,1.29945,0.73495,0.69378,0.7099,0.55709,1.22565,1.24527,1.41311,0.0004456,0.0004456,0.0004456
58,8118.52,1.12951,1.12897,1.29336,0.74175,0.69158,0.71738,0.56306,1.22239,1.23682,1.40759,0.0004357,0.0004357,0.0004357
59,8258.28,1.13234,1.12629,1.2923,0.80799,0.66814,0.7164,0.56375,1.23805,1.23787,1.41545,0.0004258,0.0004258,0.0004258
60,8396.56,1.12604,1.1192,1.29428,0.75739,0.68075,0.71421,0.55766,1.23043,1.23233,1.41673,0.0004159,0.0004159,0.0004159
61,8534.81,1.11998,1.10848,1.2855,0.76471,0.67343,0.7138,0.56263,1.21946,1.24868,1.39593,0.000406,0.000406,0.000406
62,8671.37,1.09878,1.08462,1.27653,0.75482,0.69637,0.72475,0.5648,1.23486,1.24611,1.41532,0.0003961,0.0003961,0.0003961
63,8811.21,1.10683,1.0897,1.27034,0.7307,0.69774,0.71303,0.55415,1.23619,1.25314,1.42105,0.0003862,0.0003862,0.0003862
64,8949.16,1.10714,1.06947,1.26876,0.7492,0.67976,0.71731,0.55821,1.25809,1.25201,1.43096,0.0003763,0.0003763,0.0003763
65,9089.17,1.08036,1.04596,1.25648,0.77101,0.67454,0.72005,0.56818,1.21886,1.23653,1.40365,0.0003664,0.0003664,0.0003664
66,9230.3,1.07605,1.04435,1.25508,0.76114,0.69385,0.72402,0.5658,1.23524,1.24033,1.42069,0.0003565,0.0003565,0.0003565
67,9369.33,1.08841,1.03396,1.25564,0.8003,0.6767,0.72203,0.56808,1.22839,1.22573,1.40949,0.0003466,0.0003466,0.0003466
68,9506.01,1.0742,1.01612,1.25392,0.77796,0.68167,0.7179,0.56592,1.24291,1.24765,1.42601,0.0003367,0.0003367,0.0003367
